,ISO3,year,GDP
6039,JPN,1989,25265.9487590208
6040,JPN,1990,25801.3950393094
6041,JPN,1991,29428.4289039469
6042,JPN,1992,31992.7902119161
6043,JPN,1993,36345.2441262708
6044,JPN,1994,39933.5150564874
6045,JPN,1995,44197.6191013908
6046,JPN,1996,39150.0396308089
6047,JPN,1997,35638.2319556941
6048,JPN,1998,32423.7556133801
6049,JPN,1999,36610.1683163197
6050,JPN,2000,39169.3595701504
6051,JPN,2001,34406.1824638092
6052,JPN,2002,32820.7936433254
6053,JPN,2003,35387.0374203599
6054,JPN,2004,38298.9801712303
6055,JPN,2005,37812.8950199948
6056,JPN,2006,35991.546002862
6057,JPN,2007,35779.0245416427
6058,JPN,2008,39876.3039685725
6059,JPN,2009,41308.9968370512
6060,JPN,2010,44968.1562349739
6061,JPN,2011,48760.0789494211
6062,JPN,2012,49145.2804308193
6063,JPN,2013,40898.6478964744
6064,JPN,2014,38475.3952461838
6065,JPN,2015,34960.6393843385
6066,JPN,2016,39375.4731620781
6067,JPN,2017,38834.0529341227
6068,JPN,2018,39751.1330982711
6069,JPN,2019,40415.9567649547
6070,JPN,2020,40040.7655055923
6071,JPN,2021,40058.5373276179
6072,JPN,2022,34017.2718075024
6073,KAZ,1990,1647.41963968747
6074,KAZ,1991,1514.92309359658
6075,KAZ,1992,1515.73765903177
6076,KAZ,1993,1429.07817700902
6077,KAZ,1994,1316.18362895297
6078,KAZ,1995,1288.18851938364
6079,KAZ,1996,1350.30500819378
6080,KAZ,1997,1445.50323686938
6081,KAZ,1998,1468.66867224573
6082,KAZ,1999,1130.1175320085
6083,KAZ,2000,1229.00096132728
6084,KAZ,2001,1490.92675457119
6085,KAZ,2002,1658.03114240952
6086,KAZ,2003,2068.12352309089
6087,KAZ,2004,2874.28848272999
6088,KAZ,2005,3771.27895733845
6089,KAZ,2006,5291.57400354244
6090,KAZ,2007,6771.41662014884
6091,KAZ,2008,8458.01947450022
6092,KAZ,2009,7165.22477794014
6093,KAZ,2010,9070.48825285747
6094,KAZ,2011,11633.9985836418
6095,KAZ,2012,12386.6992652963
6096,KAZ,2013,13890.6339694612
6097,KAZ,2014,12807.2630452048
6098,KAZ,2015,10510.7703240885
6099,KAZ,2016,7714.84184376024
6100,KAZ,2017,9247.58067886159
6101,KAZ,2018,9812.62543137393
6102,KAZ,2019,9812.59552626324
6103,KAZ,2020,9121.63640904156
6104,KAZ,2021,10373.7897924367
6105,KAZ,2022,11492.031938762
6106,KEN,1961,98.5352505590218
6107,KEN,1962,103.796652671314
6108,KEN,1963,106.538811268484
6109,KEN,1964,110.392020867049
6110,KEN,1965,105.96765270555
6111,KEN,1966,118.796960011357
6112,KEN,1967,120.826516103627
6113,KEN,1968,127.502462924888
6114,KEN,1969,132.104957588242
6115,KEN,1970,139.75727357607
6116,KEN,1971,149.46402618789
6117,KEN,1972,171.005091664548
6118,KEN,1973,196.623957025338
6119,KEN,1974,224.929588263062
6120,KEN,1975,238.746487543194
6121,KEN,1976,246.38181544273
6122,KEN,1977,308.312553212369
6123,KEN,1978,351.533532966598
6124,KEN,1979,399.113089445615
6125,KEN,1980,448.83302433513
6126,KEN,1981,408.346671217519
6127,KEN,1982,369.387053467119
6128,KEN,1983,330.900756462018
6129,KEN,1984,330.154053381897
6130,KEN,1985,315.390881958564
6131,KEN,1986,359.068003341567
6132,KEN,1987,381.705990275444
6133,KEN,1988,386.355948566717
6134,KEN,1989,369.98335719547
6135,KEN,1990,370.100141664428
6136,KEN,1991,340.806450943836
6137,KEN,1992,332.949910373732
6138,KEN,1993,226.521154346052
6139,KEN,1994,273.521794812193
6140,KEN,1995,336.565349625298
6141,KEN,1996,436.195703642746
6142,KEN,1997,462.40453685964
6143,KEN,1998,483.708632337355
6144,KEN,1999,430.367259869666
6145,KEN,2000,411.821352113869
6146,KEN,2001,408.36060874809
6147,KEN,2002,401.092370099667
6148,KEN,2003,441.391411736172
6149,KEN,2004,462.61821577443
6150,KEN,2005,522.776840246892
6151,KEN,2006,699.399738284504
6152,KEN,2007,840.191631882336
6153,KEN,2008,915.998915654065
6154,KEN,2009,1049.12179424341
6155,KEN,2010,1093.63962367926
6156,KEN,2011,1099.31546497439
6157,KEN,2012,1289.78079149822
6158,KEN,2013,1376.82920465019
6159,KEN,2014,1489.91972057277
6160,KEN,2015,1496.65357260021
6161,KEN,2016,1562.07661862777
6162,KEN,2017,1675.98842173012
6163,KEN,2018,1845.7834137515
6164,KEN,2019,1970.08007048615
6165,KEN,2020,1936.25075454374
6166,KEN,2021,2069.66112881918
6167,KEN,2022,2099.30193826696
6168,KGZ,1990,609.172891237019
6169,KGZ,1991,575.643974470034
6170,KGZ,1992,513.035943659476
6171,KGZ,1993,449.065790188734
6172,KGZ,1994,372.307810016831
6173,KGZ,1995,364.226497350785
6174,KGZ,1996,394.860121460514
6175,KGZ,1997,376.4296132611
6176,KGZ,1998,345.138131648451
6177,KGZ,1999,258.049228785755
6178,KGZ,2000,279.619569260939
6179,KGZ,2001,308.409611591149
6180,KGZ,2002,321.727033227846
6181,KGZ,2003,380.506432394744
6182,KGZ,2004,433.234976590867
6183,KGZ,2005,476.551885951653
6184,KGZ,2006,543.110702403072
6185,KGZ,2007,721.769522542147
6186,KGZ,2008,966.393838565694
6187,KGZ,2009,871.224226887324
6188,KGZ,2010,880.038521818228
6189,KGZ,2011,1123.88314370665
6190,KGZ,2012,1177.97526115747
6191,KGZ,2013,1282.43824753314
6192,KGZ,2014,1279.77078445418
6193,KGZ,2015,1121.08269597662
6194,KGZ,2016,1120.66705800127
6195,KGZ,2017,1242.77022029305
6196,KGZ,2018,1308.13978544561
6197,KGZ,2019,1451.51563835807
6198,KGZ,2020,1256.92922601263
6199,KGZ,2021,1365.50830399287
6200,KGZ,2022,1655.07269765044
6201,KHM,1961,113.48568408339
6202,KHM,1962,114.012204932346
6203,KHM,1963,123.201024935887
6204,KHM,1964,129.59393419026
6205,KHM,1965,140.756742045375
6206,KHM,1966,145.142456186822
6207,KHM,1967,149.827335997696
6208,KHM,1968,162.627273340246
6209,KHM,1969,146.544314870405
6210,KHM,1970,107.087796158494
6211,KHM,1971,144.842367453274
6212,KHM,1972,74.7159102094334
6213,KHM,1973,102.577674842249
6214,KHM,1974,85.1163266640379
6215,KHM,1993,247.348584430364
6216,KHM,1994,262.44289487821
6217,KHM,1995,315.14234799495
6218,KHM,1996,313.584672308454
6219,KHM,1997,301.219665354507
6220,KHM,1998,267.40979622145
6221,KHM,1999,295.591285293477
6222,KHM,2000,301.516598526092
6223,KHM,2001,322.899863859665
6224,KHM,2002,341.036765772756
6225,KHM,2003,364.275301701492
6226,KHM,2004,410.086132917873
6227,KHM,2005,475.069394255055
