,ISO3,year,ndvi
55,GEO,2002,0.6693960327148437
55,GEO,2003,0.6540268981933594
55,GEO,2004,0.6643899169921875
55,GEO,2005,0.6651285644531251
55,GEO,2006,0.6556801635742188
55,GEO,2007,0.6623187225341797
55,GEO,2008,0.6585156982421875
55,GEO,2009,0.6565606628417969
55,GEO,2010,0.6625041381835937
55,GEO,2011,0.6764252868652345
55,GEO,2012,0.6858227050781251
55,GEO,2013,0.6807424438476565
55,GEO,2014,0.6706526489257814
55,GEO,2015,0.6696872772216796
55,GEO,2016,0.6881431457519531
55,GEO,2017,0.6632766540527343
55,GEO,2018,0.6939844421386718
55,GEO,2019,0.6711786926269531
55,GEO,2020,0.6781515319824218
55,GEO,2021,0.6744257019042971
55,GEO,2022,0.6510069793701172
56,GHA,1982,0.6503544616699221
56,GHA,1983,0.6575889434814454
56,GHA,1984,0.6800364990234374
56,GHA,1985,0.6930465240478516
56,GHA,1986,0.6865631332397463
56,GHA,1987,0.7025490875244141
56,GHA,1988,0.6802646713256836
56,GHA,1989,0.6917496871948242
56,GHA,1990,0.6755902633666993
56,GHA,1991,0.6584938125610351
56,GHA,1992,0.6772787475585936
56,GHA,1993,0.680577766418457
56,GHA,1994,0.6852528686523438
56,GHA,1995,0.6870043563842773
56,GHA,1996,0.677705955505371
56,GHA,1997,0.6879511108398437
56,GHA,1998,0.6864486389160156
56,GHA,1999,0.6926193695068359
56,GHA,2000,0.6792137222290038
56,GHA,2001,0.6710396194458009
56,GHA,2002,0.6764712066650391
56,GHA,2003,0.6809284973144533
56,GHA,2004,0.6700131378173827
56,GHA,2005,0.6631071243286133
56,GHA,2006,0.6645815963745118
56,GHA,2007,0.6690335159301757
56,GHA,2008,0.668266830444336
56,GHA,2009,0.671265625
56,GHA,2010,0.6752121047973635
56,GHA,2011,0.6724595947265624
56,GHA,2012,0.6773439941406251
56,GHA,2013,0.6605034103393553
56,GHA,2014,0.6703646850585938
56,GHA,2015,0.662323097229004
56,GHA,2016,0.6602406158447264
56,GHA,2017,0.6634827575683593
56,GHA,2018,0.6728082733154297
56,GHA,2019,0.678666000366211
56,GHA,2020,0.6665829696655273
56,GHA,2021,0.6759348907470704
56,GHA,2022,0.6615691680908203
60,GIN,1982,0.7135106277465819
60,GIN,1983,0.7198817520141602
60,GIN,1984,0.7029669189453124
60,GIN,1985,0.7328942871093751
60,GIN,1986,0.7246793746948242
60,GIN,1987,0.7342131347656251
60,GIN,1988,0.7194579467773439
60,GIN,1989,0.7259511871337893
60,GIN,1990,0.7299157333374021
60,GIN,1991,0.7139011917114259
60,GIN,1992,0.7294515380859377
60,GIN,1993,0.7268727569580077
60,GIN,1994,0.7342264175415039
60,GIN,1995,0.7334469604492189
60,GIN,1996,0.7312506408691405
60,GIN,1997,0.7354316787719729
60,GIN,1998,0.7306978530883789
60,GIN,1999,0.7271587448120115
60,GIN,2000,0.7308437194824219
60,GIN,2001,0.7233873062133789
60,GIN,2002,0.7403602981567384
60,GIN,2003,0.7365939407348633
60,GIN,2004,0.7259394454956055
