,ISO3,year,spei_agweighted
91,ABW,1992,-0.2825163137167691
92,ABW,1993,-0.5893251652984577
93,ABW,1994,-0.38513727517177704
94,ABW,1995,-0.3008464773495982
95,ABW,1996,0.3488365958134334
96,ABW,1997,-0.7500426669915523
97,ABW,1998,0.025996919721364826
98,ABW,1999,0.4840950692693395
99,ABW,2000,-0.07874912768602461
100,ABW,2001,-0.9163583125919098
101,ABW,2002,-0.7386716390028601
102,ABW,2003,-0.19678714623053883
103,ABW,2004,0.5502616552015149
104,ABW,2005,0.5483761150389922
105,ABW,2006,0.5994109672804672
106,ABW,2007,0.05331711362426534
107,ABW,2008,0.656712714582682
108,ABW,2009,-0.28704925471295967
109,ABW,2010,0.7826870332161593
110,ABW,2011,1.0543741447230184
111,ABW,2012,-0.13256784652670262
112,ABW,2013,-0.48195684545983974
113,ABW,2014,-1.1528340537721908
114,ABW,2015,-1.080047510564328
115,ABW,2016,-0.5976180744667842
116,ABW,2017,-0.4158493603269262
117,ABW,2018,-0.48908044335742806
118,ABW,2019,-1.3993081773320852
119,ABW,2020,-0.6189739213635524
120,ABW,2021,-0.23004510888131344
121,ABW,2022,-0.10781472890327386
122,ABW,2023,-0.42176214703552733
123,AFG,1901,0.0330803307394194
124,AFG,1902,-0.004269092033306496
125,AFG,1903,0.31840239903734335
126,AFG,1904,0.16513856217109893
127,AFG,1905,0.04245451949342751
128,AFG,1906,0.08654210219780611
129,AFG,1907,0.48807502662142105
130,AFG,1908,0.20603297340373175
131,AFG,1909,-0.0004416757534878857
132,AFG,1910,0.0733537790365516
133,AFG,1911,0.12133723124861727
134,AFG,1912,0.022963332167516157
135,AFG,1913,0.13555950795610805
136,AFG,1914,0.02932841874038208
137,AFG,1915,-0.4559035946925481
138,AFG,1916,-0.008109853913386922
139,AFG,1917,-0.3250936381518846
140,AFG,1918,0.04967722294168192
141,AFG,1919,0.15136086288839568
142,AFG,1920,0.4547246073683103
143,AFG,1921,0.14977199956774706
144,AFG,1922,0.05384947087926173
145,AFG,1923,0.2985810664249586
146,AFG,1924,0.22932436565558137
147,AFG,1925,-0.38937597450179373
148,AFG,1926,0.0763561480368177
149,AFG,1927,-0.23418319659928502
150,AFG,1928,0.26944229441384476
151,AFG,1929,0.16298269232114168
152,AFG,1930,0.20048147191603963
153,AFG,1931,0.4584837344785528
154,AFG,1932,0.21567274164408498
155,AFG,1933,0.18710962527741956
156,AFG,1934,0.40584469963020403
157,AFG,1935,0.19534567215790402
158,AFG,1936,-0.3367969753841559
159,AFG,1937,-0.19522041874006413
160,AFG,1938,-0.2172007548312349
161,AFG,1939,-0.022092928489048935
162,AFG,1940,-0.28036964413089077
163,AFG,1941,-0.39362903001407706
164,AFG,1942,0.09788524165439115
165,AFG,1943,0.16041936725378
166,AFG,1944,-0.5887076631188389
167,AFG,1945,0.12168024773442666
168,AFG,1946,-0.5222312042800086
169,AFG,1947,-0.6261694074297944
170,AFG,1948,-0.35130788044383127
171,AFG,1949,0.1536672835548715
172,AFG,1950,-0.2929715548331541
